"animal","year","headCount"
"Galtar","2000","4161"
"Galtar","2001","3924"
"Galtar","2002","3385"
"Galtar","2003","3945"
"Galtar","2004","3115"
"Galtar","2005","2697"
"Galtar","2006","2623"
"Galtar","2007","2491"
"Galtar","2008","2438"
"Galtar","2009","2414"
"Galtar","2010","2327"
"Galtar","2011","1873"
"Galtar","2012","1539"
"Galtar","2013","2074"
"Galtar","2014","1743"
"Galtar","2015","1548"
"Galtar","2016","1481"
"Galtar","2017","1574"
"Galtar","2018","1532"
"Galtar","2019","1476"
"Galtar","2020","1421"
"Galtar","2021","1451"
"Galtar","2022","1631"
"Galtar","2023","1610"
"Galtar","2024","1597"
"Suggor, inklusive gyltor","2000","201896"
"Suggor, inklusive gyltor","2001","211842"
"Suggor, inklusive gyltor","2002","208177"
"Suggor, inklusive gyltor","2003","204527"
"Suggor, inklusive gyltor","2004","191939"
"Suggor, inklusive gyltor","2005","185415"
"Suggor, inklusive gyltor","2006","184321"
"Suggor, inklusive gyltor","2007","178953"
"Suggor, inklusive gyltor","2008","167394"
"Suggor, inklusive gyltor","2009","157851"
"Suggor, inklusive gyltor","2010","153635"
"Suggor, inklusive gyltor","2011","150955"
"Suggor, inklusive gyltor","2012","140055"
"Suggor, inklusive gyltor","2013","148066"
"Suggor, inklusive gyltor","2014","143362"
"Suggor, inklusive gyltor","2015","140249"
"Suggor, inklusive gyltor","2016","138983"
"Suggor, inklusive gyltor","2017","139627"
"Suggor, inklusive gyltor","2018","130302"
"Suggor, inklusive gyltor","2019","128113"
"Suggor, inklusive gyltor","2020","129889"
"Suggor, inklusive gyltor","2021","127788"
"Suggor, inklusive gyltor","2022","125624"
"Suggor, inklusive gyltor","2023","111140"
"Suggor, inklusive gyltor","2024","116061"
"Slaktgrisar","2000","1145856"
"Slaktgrisar","2001","1089452"
"Slaktgrisar","2002","1095981"
"Slaktgrisar","2003","1127372"
"Slaktgrisar","2004","1094537"
"Slaktgrisar","2005","1085304"
"Slaktgrisar","2006","1001947"
"Slaktgrisar","2007","1015365"
"Slaktgrisar","2008","974112"
"Slaktgrisar","2009","942521"
"Slaktgrisar","2010","936910"
"Slaktgrisar","2011","900897"
"Slaktgrisar","2012","851358"
"Slaktgrisar","2013","847022"
"Slaktgrisar","2014","856754"
"Slaktgrisar","2015","830257"
"Slaktgrisar","2016","835323"
"Slaktgrisar","2017","836002"
"Slaktgrisar","2018","900866"
"Slaktgrisar","2019","943019"
"Slaktgrisar","2020","868799"
"Slaktgrisar","2021","845483"
"Slaktgrisar","2022","895068"
"Slaktgrisar","2023","851799"
"Slaktgrisar","2024","860979"
"Smågrisar","2000","566004"
"Smågrisar","2001","586238"
"Smågrisar","2002","574200"
"Smågrisar","2003","567282"
"Smågrisar","2004","528445"
"Smågrisar","2005","537800"
"Smågrisar","2006","491644"
"Smågrisar","2007","479518"
"Smågrisar","2008","465345"
"Smågrisar","2009","425953"
"Smågrisar","2010","427002"
"Smågrisar","2011","428866"
"Smågrisar","2012","370412"
"Smågrisar","2013","401713"
"Smågrisar","2014","375671"
"Smågrisar","2015","383973"
"Smågrisar","2016","378499"
"Smågrisar","2017","384731"
"Smågrisar","2018","360549"
"Smågrisar","2019","383439"
"Smågrisar","2020","367646"
"Smågrisar","2021","376225"
"Smågrisar","2022","370620"
"Smågrisar","2023","338954"
"Smågrisar","2024","359048"
"Summa grisar","2000","1898084"
"Summa grisar","2001","1891456"
"Summa grisar","2002","1881743"
"Summa grisar","2003","1903126"
"Summa grisar","2004","1818036"
"Summa grisar","2005","1811216"
"Summa grisar","2006","1680535"
"Summa grisar","2007","1676327"
"Summa grisar","2008","1609289"
"Summa grisar","2009","1528739"
"Summa grisar","2010","1519874"
"Summa grisar","2011","1482591"
"Summa grisar","2012","1363364"
"Summa grisar","2013","1398875"
"Summa grisar","2014","1377530"
"Summa grisar","2015","1356027"
"Summa grisar","2016","1354286"
"Summa grisar","2017","1361934"
"Summa grisar","2018","1393249"
"Summa grisar","2019","1456047"
"Summa grisar","2020","1367755"
"Summa grisar","2021","1350947"
"Summa grisar","2022","1392944"
"Summa grisar","2023","1303503"
"Summa grisar","2024","1337685"
