"YearMonth","AnimalType","ATC","ProductName","PackType","PackageSize","Substanse","Price","UnitsSold","ActiveSubstanceVolume","ActiveSubstanceUnit","RealPrice","Year","Month","RealPricePerUnit","Date"
200501,"Svin - 120","J01CE02","Kåvepenin Frukt, granulat till oral suspension 50 mg/ml","Flaska","125 milliliter","fenoximetylpenicillinkalium",187,2,12.5,"g",282.000575746671,2005,1,141.000287873336,2005-01-01
200501,"Svin - 120","J01CE02","Kåvepenin Frukt, granulat till oral suspension 50 mg/ml","Flaska","200 milliliter","fenoximetylpenicillinkalium",252,2,20,"g",380.022166246851,2005,1,190.011083123426,2005-01-01
200501,"Svin - 120","J01CE02","Kåvepenin, granulat till oral suspension 50 mg/ml","Flaska","200 milliliter","fenoximetylpenicillinkalium",504,4,40,"g",760.044332493703,2005,1,190.011083123426,2005-01-01
200501,"Svin - 120","QJ01AA02","Pulmodox vet, premix till medicinfoder 5 %","Påse","5 kilogram","doxycyklinhyklat",18421,13,3607.5,"g",27779.318747751,2005,1,2136.87067290392,2005-01-01
200501,"Svin - 120","QJ01AA06","Engemycin vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","10 x 100 milliliter","oxitetracyklinhydroklorid",4848,8,904,"g",7310.90262684419,2005,1,913.862828355524,2005-01-01
200501,"Svin - 120","QJ01AA06","Engemycin vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","100 milliliter","oxitetracyklinhydroklorid",2738.5,32,361.6,"g",4129.72500899604,2005,1,129.053906531126,2005-01-01
200501,"Svin - 120","QJ01AA06","Terramycin vet., oralt pulver 20 %","Burk","500 gram","oxitetracyklinhydroklorid",5182.5,15,1650,"g",7815.33681180281,2005,1,521.022454120187,2005-01-01
200501,"Svin - 120","QJ01CE01","Geepenil vet., pulv och vätska till inj-vätska, lösning 24 g","Flaska","10 x 24 gram","bensylpenicillinnatrium",989.5,1,5760,"g",1492.19021230659,2005,1,1492.19021230659,2005-01-01
200501,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","100 milliliter","bensylpenicillinprokainmonohydrat",6241.5,78,2340,"g",9412.33472472112,2005,1,120.670958009245,2005-01-01
200501,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","12 x 100 milliliter","bensylpenicillinprokainmonohydrat",63049.5,109,39240,"g",95080.1887729399,2005,1,872.295309843485,2005-01-01
