"YearMonth","AnimalType","ATC","ProductName","PackType","PackageSize","Substanse","Price","UnitsSold","ActiveSubstanceVolume","ActiveSubstanceUnit","RealPrice","Year","Month","RealPricePerUnit","Date","KgActiveSubstance","RealPricePerKgActiveSubstance"
200501,"Svin - 120","J01CE02","Kåvepenin Frukt, granulat till oral suspension 50 mg/ml","Flaska","125 milliliter","fenoximetylpenicillinkalium",187,2,12.5,"g",282.000575746671,2005,1,141.000287873336,"2005-01-01",0.0125,22560.0460597337
200501,"Svin - 120","J01CE02","Kåvepenin Frukt, granulat till oral suspension 50 mg/ml","Flaska","200 milliliter","fenoximetylpenicillinkalium",252,2,20,"g",380.022166246851,2005,1,190.011083123426,"2005-01-01",0.02,19001.1083123425
200501,"Svin - 120","J01CE02","Kåvepenin, granulat till oral suspension 50 mg/ml","Flaska","200 milliliter","fenoximetylpenicillinkalium",504,4,40,"g",760.044332493703,2005,1,190.011083123426,"2005-01-01",0.04,19001.1083123426
200501,"Svin - 120","QJ01AA06","Engemycin vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","10 x 100 milliliter","oxitetracyklinhydroklorid",4848,8,904,"g",7310.90262684419,2005,1,913.862828355524,"2005-01-01",0.904,8087.28166686304
200501,"Svin - 120","QJ01AA06","Engemycin vet., inj-vätska, lösning 100 mg/ml","Injektionsflaska","100 milliliter","oxitetracyklinhydroklorid",2738.5,32,361.6,"g",4129.72500899604,2005,1,129.053906531126,"2005-01-01",0.3616,11420.69969302
200501,"Svin - 120","QJ01AA06","Terramycin vet., oralt pulver 20 %","Burk","500 gram","oxitetracyklinhydroklorid",5182.5,15,1650,"g",7815.33681180281,2005,1,521.022454120187,"2005-01-01",1.65,4736.56776472898
200501,"Svin - 120","QJ01CE01","Geepenil vet., pulv och vätska till inj-vätska, lösning 24 g","Flaska","10 x 24 gram","bensylpenicillinnatrium",989.5,1,5760,"g",1492.19021230659,2005,1,1492.19021230659,"2005-01-01",5.76,259.060800747672
200501,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","100 milliliter","bensylpenicillinprokainmonohydrat",6241.5,78,2340,"g",9412.33472472112,2005,1,120.670958009245,"2005-01-01",2.34,4022.36526697484
200501,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","12 x 100 milliliter","bensylpenicillinprokainmonohydrat",63049.5,109,39240,"g",95080.1887729399,2005,1,872.295309843485,"2005-01-01",39.24,2423.04252734301
200501,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","12 x 250 milliliter","bensylpenicillinprokainmonohydrat",1122,1,900,"g",1692.00345448003,2005,1,1692.00345448003,"2005-01-01",0.9,1880.00383831114
200501,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","250 milliliter","bensylpenicillinprokainmonohydrat",514,4,300,"g",775.124577186038,2005,1,193.78114429651,"2005-01-01",0.3,2583.74859062013
200501,"Svin - 120","QJ01CE09","Ethacilin vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","48 x 100 milliliter","bensylpenicillinprokainmonohydrat",13737.5,7,10080,"g",20716.4861460957,2005,1,2959.49802087082,"2005-01-01",10.08,2055.20695893807
200501,"Svin - 120","QJ01CE09","Penovet vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","10 x 5 x 100 milliliter","bensylpenicillinprokainmonohydrat",4112.5,2,3000,"g",6201.75062972292,2005,1,3100.87531486146,"2005-01-01",3,2067.25020990764
200501,"Svin - 120","QJ01CE09","Penovet vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","100 milliliter","bensylpenicillinprokainmonohydrat",7692,96,2880,"g",11599.7242173444,2005,1,120.830460597337,"2005-01-01",2.88,4027.68201991125
200501,"Svin - 120","QJ01CE09","Penovet vet., inj-vätska, suspension 300 mg/ml","Injektionsflaska","25 x 100 milliliter","bensylpenicillinprokainmonohydrat",18912.5,17,12750,"g",28520.5127743793,2005,1,1677.67722202231,"2005-01-01",12.75,2236.90296269642
