"Date","TotalKgActiveSubstanceSold","AverageAntibioticsRealPricePerKg"
2005-01-01,0.904,8087.28166686304
2005-02-01,0.452,8049.62598574942
2005-03-01,1.356,8032.3644575455
2005-04-01,0.452,8020.89784161757
2005-05-01,1.243,8018.03630118173
2005-06-01,1.13,8015.17680178759
2005-07-01,1.243,8043.86390558783
2005-08-01,0.678,8029.49473105122
2005-09-01,1.469,7972.52775885507
2005-10-01,1.582,7958.41209355961
2005-11-01,0.791,7978.18805545345
2005-12-01,1.695,7975.3569028433
2006-01-01,0.904,8064.92692998313
2006-02-01,1.243,8027.31548719823
2006-03-01,1.243,7970.84704427156
2006-04-01,1.243,7930.75731694563
2006-05-01,1.13,7918.50302133019
2006-06-01,0.904,7920.72825753119
2006-07-01,1.017,7934.38516610008
2006-08-01,1.695,7929.08404372313
2006-09-01,1.13,8017.91048470231
2006-10-01,1.243,8050.77660613419
2006-11-01,1.13,8040.65797478202
2006-12-01,1.243,8040.65797478202
2007-01-01,1.017,8080.71879483812
2007-02-01,1.13,8040.09657432995
2007-03-01,0.904,7987.67267962687
2007-04-01,1.356,7947.42973779911
2007-05-01,1.469,7955.94052686474
2007-06-01,1.017,7943.04419284985
2007-07-01,2.034,7955.66570077316
2007-08-01,0.791,7957.8648412868
2007-09-01,0.791,7879.18461757377
2007-10-01,1.243,7837.62349401672
2007-11-01,1.243,7787.27189760545
2007-12-01,1.695,7772.2923316577
2008-01-01,1.243,7831.22739201202
2008-02-01,1.13,7950.38517513301
2008-03-01,0.791,7875.70361820073
2008-04-01,1.13,7833.91642310967
2008-05-01,1.469,7799.56056517917
2008-06-01,1.017,7761.91018189212
2008-07-01,1.017,7770.64557450357
2008-08-01,1.017,7773.99077592316
2008-09-01,1.017,7694.99716308271
2008-10-01,1.017,7682.90919790966
2008-11-01,1.469,7746.28698776903
2008-12-01,1.582,7851.73328376624
2009-01-01,1.356,7880.99145465715
2009-02-01,1.017,7879.13990439092
2009-03-01,1.695,7856.72601912071
2009-04-01,1.017,7844.64924986057
2009-05-01,0.565,7839.67184676331
2009-06-01,1.243,7820.86729024644
2009-07-01,1.356,7856.72601912072
2009-08-01,1.017,7840.45733255385
2009-09-01,1.017,7816.18023809979
2009-10-01,1.13,7796.45224174977
2009-11-01,1.13,7798.52418201932
2009-12-01,1.13,7781.46353711848
2010-01-01,1.13,7958.81949222863
2010-02-01,0.904,7925.45995897261
2010-03-01,1.695,7906.32266812171
2010-04-01,1.017,7905.27671989202
2010-05-01,0.791,7890.66244891901
2010-06-01,0.791,7889.36023047348
2010-07-01,0.565,7913.6520627286
2010-08-01,0.904,8036.67478886865
2010-09-01,1.243,7842.16114509143
2010-10-01,0.904,7854.85003943016
2010-11-01,0.452,7796.46248622398
2010-12-01,1.243,7767.28522077796
2011-01-01,0.452,7916.43809284303
2011-02-01,1.13,7876.80537926224
2011-03-01,1.017,7921.65199603896
2011-04-01,0.678,7884.18409640782
2011-05-01,0.339,7866.55703750932
2011-06-01,0.904,7902.92591622829
2011-07-01,0.678,7830.47279651574
2011-08-01,0.339,7892.48293264416
2011-09-01,0.565,7851.39034423793
