"YearMonth","AvrakningsprisKrPerKg","RealAvrakningsprisKrPerKg"
2000-01-01,1070,1720.0444955888
2000-02-01,1040,1671.81894898351
2000-03-01,1100,1768.27004219409
2000-04-01,1125,1808.4579976985
2000-05-01,1185,1904.90909090909
2000-06-01,1250,2009.39777522056
2000-07-01,1270,2041.54813962409
2000-08-01,1270,2041.54813962409
2000-09-01,1290,2073.69850402762
2000-10-01,1290,2073.69850402762
2000-11-01,1305,2097.81127733026
2000-12-01,1321,2123.53156885309
2001-01-01,1285,2065.66091292674
2001-02-01,1325,2129.96164173379
2001-03-01,1475,2371.08937476026
2001-04-01,1425,2290.71346375144
2001-05-01,1425,2290.71346375144
2001-06-01,1505,2419.31492136555
2001-07-01,1475,2371.08937476026
2001-08-01,1445,2322.86382815497
2001-09-01,1455,2338.93901035673
2001-10-01,1455,2338.93901035673
2001-11-01,1455,2338.93901035673
2001-12-01,1425,2290.71346375144
2002-01-01,1331,2139.60675105485
2002-02-01,1311,2107.45638665132
2002-03-01,1331,2139.60675105485
2002-04-01,1331,2139.60675105485
2002-05-01,1301,2091.38120444956
2002-06-01,1301,2091.38120444956
2002-07-01,1221,1962.77974683544
2002-08-01,1196,1922.59179133103
2002-09-01,1236,1986.89252013809
2002-10-01,1236,1986.89252013809
2002-11-01,1258,2022.25792098197
2002-12-01,1258,2022.25792098197
2003-01-01,1146,1842.21588032221
2003-02-01,1146,1842.21588032221
2003-03-01,1146,1842.21588032221
2003-04-01,1086,1745.76478711162
2003-05-01,1086,1745.76478711162
2003-06-01,1036,1665.3888761028
2003-07-01,1061,1705.57683160721
2003-08-01,1036,1665.3888761028
2003-09-01,1111,1785.95274261603
2003-10-01,1131,1818.10310701956
2003-11-01,1101,1769.87756041427
2003-12-01,1081,1737.72719601074
2004-01-01,1057,1699.14675872651
2004-02-01,1057,1699.14675872651
2004-03-01,1127,1811.67303413886
2004-04-01,1167,1875.97376294591
2004-05-01,1137,1827.74821634062
2004-06-01,1162,1867.93617184503
2004-07-01,1187,1908.12412734944
2004-08-01,1212,1948.31208285385
2004-09-01,1262,2028.68799386268
2004-10-01,1288,2070.48346758726
2004-11-01,1287,2068.87594936709
2004-12-01,1197,1924.19930955121
2005-01-01,1178.8,1627.92955908522
2005-02-01,1178.8,1627.92955908522
2005-03-01,1208.83,1669.40116127331
2005-04-01,1178.8,1627.92955908522
2005-05-01,1173.26,1620.27878731958
2005-06-01,1180.3,1630.00106768602
2005-07-01,1211.83,1673.54417847492
2005-08-01,1233.84,1703.94011467739
2005-09-01,1258.86,1738.4928781388
2005-10-01,1261.11,1741.60014104001
2005-11-01,1296.67,1790.7087049364
2005-12-01,1293.9,1786.88331905358
2006-01-01,1225.69,1692.68491794635
2006-02-01,1225.69,1692.68491794635
2006-03-01,1225.69,1692.68491794635
2006-04-01,1225.69,1692.68491794635
2006-05-01,1225.69,1692.68491794635
2006-06-01,1225.69,1692.68491794635
2006-07-01,1225.69,1692.68491794635
2006-08-01,1225.69,1692.68491794635
2006-09-01,1290.51,1782.20170961576
2006-10-01,1290.51,1782.20170961576
2006-11-01,1263.26,1744.56930336782
2006-12-01,1263.26,1744.56930336782
2007-01-01,1147.61,1584.85599024583
2007-02-01,1162.33,1605.18439464839
2007-03-01,1162.33,1605.18439464839
2007-04-01,1162.33,1605.18439464839
2007-05-01,1157.16,1598.04459500428
2007-06-01,1157.16,1598.04459500428
2007-07-01,1164.51,1608.19498714822
2007-08-01,1190.12,1643.56254399262
2007-09-01,1211.61,1673.24035721347
2007-10-01,1310.96,1810.44327687339
2007-11-01,1356.34,1873.11331707639
2007-12-01,1306.3,1804.00779015356
2008-01-01,1207.92,1668.14444605549
2008-02-01,1210.87,1672.21841297041
2008-03-01,1294.89,1788.25051473011
2008-04-01,1311.96,1811.82428260726
2008-05-01,1375.18,1899.13146510248
2008-06-01,1449.62,2001.93353193172
2008-07-01,1460,2016.26837144929
2008-08-01,1532.45,2116.32223686812
2008-09-01,1568.03,2165.45842087919
2008-10-01,1531.01,2114.33358861135
2008-11-01,1508.92,2083.82717195017
2008-12-01,1397.59,1930.0798035985
2009-01-01,1356.76,1873.69333948461
2009-02-01,1452.64,2006.10416924801
2009-03-01,1469.66,2029.60888683846
2009-04-01,1489.37,2056.82850985303
2009-05-01,1523.59,2104.08652606604
2009-06-01,1532.83,2116.84701904699
2009-07-01,1555.7,2148.43062018058
