"year","AverageRealAvrakningsprisKrPerKg"
"2000",1944.56120700678
"2001",2297.41145633551
"2002",2051.05928909347
"2003",1763.84936708861
"2004",1894.19230277458
"2005",1686.55325248797
"2006",1716.25178079483
"2007",1667.42171972144
"2008",1938.98268722951
"2009",2092.48722873965
"2010",1896.50807808095
"2011",1871.64993138663
"2012",2144.44646976225
"2013",2384.49520844636
"2014",2180.66932780171
"2015",2048.41578504983
"2016",2110.16901861554
"2017",2064.229739819
"2018",1961.73445562435
"2019",2005.40941494007
"2020",2246.31304675716
"2021",2268.2617670874
"2022",2655.23375843455
"2023",2860.62874384774
"2024",2980.6283196396
"2025",3096.0296010955
