"Date","companyCount"
2000-01-01,4442
2000-02-01,4418
2000-03-01,4396
2000-04-01,4373
2000-05-01,4350
2000-06-01,4327
2000-07-01,4304
2000-08-01,4281
2000-09-01,4258
2000-10-01,4235
2000-11-01,4212
2000-12-01,4189
2001-01-01,4166
2001-02-01,4142
2001-03-01,4121
2001-04-01,4098
2001-05-01,4075
2001-06-01,4052
2001-07-01,4029
2001-08-01,4006
2001-09-01,3983
2001-10-01,3960
2001-11-01,3937
2001-12-01,3914
2002-01-01,3891
2002-02-01,3867
2002-03-01,3846
2002-04-01,3823
2002-05-01,3800
2002-06-01,3777
2002-07-01,3768
2002-08-01,3759
2002-09-01,3750
2002-10-01,3741
2002-11-01,3732
2002-12-01,3723
2003-01-01,3714
2003-02-01,3705
2003-03-01,3696
2003-04-01,3687
2003-05-01,3678
2003-06-01,3669
2003-07-01,3633
2003-08-01,3595
2003-09-01,3558
2003-10-01,3522
2003-11-01,3484
2003-12-01,3448
2004-01-01,3411
2004-02-01,3373
2004-03-01,3338
2004-04-01,3301
2004-05-01,3264
2004-06-01,3227
2004-07-01,3191
2004-08-01,3155
2004-09-01,3118
2004-10-01,3082
2004-11-01,3045
2004-12-01,3010
2005-01-01,2973
2005-02-01,2936
2005-03-01,2903
2005-04-01,2866
2005-05-01,2831
2005-06-01,2794
2005-07-01,2784
2005-08-01,2774
2005-09-01,2765
2005-10-01,2755
2005-11-01,2745
2005-12-01,2735
2006-01-01,2725
2006-02-01,2715
2006-03-01,2706
2006-04-01,2697
2006-05-01,2687
2006-06-01,2677
2006-07-01,2644
2006-08-01,2610
2006-09-01,2576
2006-10-01,2543
2006-11-01,2509
2006-12-01,2476
2007-01-01,2442
2007-02-01,2409
2007-03-01,2378
2007-04-01,2344
2007-05-01,2311
2007-06-01,2277
2007-07-01,2265
2007-08-01,2252
2007-09-01,2240
2007-10-01,2227
2007-11-01,2215
2007-12-01,2202
2008-01-01,2190
2008-02-01,2177
2008-03-01,2165
2008-04-01,2153
2008-05-01,2141
2008-06-01,2128
2008-07-01,2105
2008-08-01,2082
2008-09-01,2059
2008-10-01,2036
2008-11-01,2013
2008-12-01,1990
2009-01-01,1967
2009-02-01,1943
2009-03-01,1922
2009-04-01,1899
2009-05-01,1876
2009-06-01,1853
2009-07-01,1840
2009-08-01,1827
2009-09-01,1813
2009-10-01,1800
2009-11-01,1787
2009-12-01,1774
2010-01-01,1760
2010-02-01,1747
2010-03-01,1735
2010-04-01,1721
2010-05-01,1708
2010-06-01,1695
2010-07-01,1662
2010-08-01,1628
2010-09-01,1595
2010-10-01,1562
2010-11-01,1528
2010-12-01,1495
2011-01-01,1462
2011-02-01,1428
2011-03-01,1397
2011-04-01,1364
2011-05-01,1331
2011-06-01,1297
2011-07-01,1282
2011-08-01,1266
2011-09-01,1251
2011-10-01,1236
2011-11-01,1220
2011-12-01,1205
2012-01-01,1189
2012-02-01,1174
2012-03-01,1159
2012-04-01,1144
2012-05-01,1129
2012-06-01,1113
2012-07-01,1127
2012-08-01,1141
2012-09-01,1155
