"year","AverageCompanyCount"
"2000",4315.41666666667
"2001",4040.25
"2002",3789.75
"2003",3615.75
"2004",3209.58333333333
"2005",2821.75
"2006",2630.41666666667
"2007",2296.83333333333
"2008",2103.25
"2009",1858.41666666667
"2010",1653
"2011",1311.58333333333
"2012",1156.66666666667
"2013",1263.66666666667
"2014",1274.08333333333
"2015",1237.16666666667
"2016",1252.41666666667
"2017",1280.75
"2018",1300.66666666667
"2019",1124
"2020",1146.41666666667
"2021",1183
"2022",1172.91666666667
"2023",1163.66666666667
"2024",1175.25
