"Date","headCount"
2000-01-01,1900844
2000-02-01,1900281
2000-03-01,1899755
2000-04-01,1899192
2000-05-01,1898647
2000-06-01,1898084
2000-07-01,1897539
2000-08-01,1896976
2000-09-01,1896413
2000-10-01,1895869
2000-11-01,1895306
2000-12-01,1894761
2001-01-01,1894198
2001-02-01,1893635
2001-03-01,1893127
2001-04-01,1892564
2001-05-01,1892019
2001-06-01,1891456
2001-07-01,1890658
2001-08-01,1889833
2001-09-01,1889008
2001-10-01,1888209
2001-11-01,1887385
2001-12-01,1886586
2002-01-01,1885761
2002-02-01,1884936
2002-03-01,1884191
2002-04-01,1883366
2002-05-01,1882568
2002-06-01,1881743
2002-07-01,1883501
2002-08-01,1885317
2002-09-01,1887133
2002-10-01,1888890
2002-11-01,1890706
2002-12-01,1892464
2003-01-01,1894280
2003-02-01,1896096
2003-03-01,1897736
2003-04-01,1899552
2003-05-01,1901310
2003-06-01,1903126
2003-07-01,1896151
2003-08-01,1888944
2003-09-01,1881737
2003-10-01,1874763
2003-11-01,1867556
2003-12-01,1860581
2004-01-01,1853374
2004-02-01,1846167
2004-03-01,1839425
2004-04-01,1832218
2004-05-01,1825243
2004-06-01,1818036
2004-07-01,1817475
2004-08-01,1816896
2004-09-01,1816317
2004-10-01,1815756
2004-11-01,1815177
2004-12-01,1814617
2005-01-01,1814037
2005-02-01,1813458
2005-03-01,1812935
2005-04-01,1812356
2005-05-01,1811795
2005-06-01,1811216
2005-07-01,1800475
2005-08-01,1789376
2005-09-01,1778277
2005-10-01,1767536
2005-11-01,1756437
2005-12-01,1745696
2006-01-01,1734598
2006-02-01,1723499
2006-03-01,1713474
2006-04-01,1702375
2006-05-01,1691634
2006-06-01,1680535
2006-07-01,1680189
2006-08-01,1679832
2006-09-01,1679474
2006-10-01,1679128
2006-11-01,1678771
2006-12-01,1678425
2007-01-01,1678068
2007-02-01,1677710
2007-03-01,1677388
2007-04-01,1677030
2007-05-01,1676684
2007-06-01,1676327
2007-07-01,1670832
2007-08-01,1665154
2007-09-01,1659476
2007-10-01,1653981
2007-11-01,1648303
2007-12-01,1642808
2008-01-01,1637130
2008-02-01,1631452
2008-03-01,1626140
2008-04-01,1620462
2008-05-01,1614967
2008-06-01,1609289
2008-07-01,1602668
2008-08-01,1595827
2008-09-01,1588986
2008-10-01,1582365
2008-11-01,1575524
2008-12-01,1568904
2009-01-01,1562062
2009-02-01,1555221
2009-03-01,1549042
2009-04-01,1542201
2009-05-01,1535580
2009-06-01,1528739
2009-07-01,1528010
2009-08-01,1527257
2009-09-01,1526505
2009-10-01,1525776
2009-11-01,1525023
2009-12-01,1524294
2010-01-01,1523541
2010-02-01,1522789
2010-03-01,1522108
2010-04-01,1521356
2010-05-01,1520627
2010-06-01,1519874
2010-07-01,1516810
2010-08-01,1513643
2010-09-01,1510477
2010-10-01,1507412
2010-11-01,1504246
2010-12-01,1501181
2011-01-01,1498015
2011-02-01,1494848
2011-03-01,1491988
2011-04-01,1488822
2011-05-01,1485758
2011-06-01,1482591
2011-07-01,1472818
2011-08-01,1462720
2011-09-01,1452621
2011-10-01,1442849
2011-11-01,1432750
2011-12-01,1422978
2012-01-01,1412879
