"year","AverageheadCount"
"2000",1897805.58333333
"2001",1890723.16666667
"2002",1885881.33333333
"2003",1888486
"2004",1825891.75
"2005",1792799.5
"2006",1693494.5
"2007",1666980.08333333
"2008",1604476.16666667
"2009",1535809.16666667
"2010",1515338.66666667
"2011",1469063.16666667
"2012",1380966.83333333
"2013",1392062.33333333
"2014",1376600.41666667
"2015",1358006.58333333
"2016",1355586.41666667
"2017",1365722.33333333
"2018",1399186.33333333
"2019",1436637.41666667
"2020",1374482.16666667
"2021",1358839.25
"2022",1375491.83333333
"2023",1317783
"2024",1334128.25
