"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"Product","Ethacilin","Ethacilin","Ethacilin","Ethacilin","Ethacilin","Ethacilin","Penovet","Penovet","Penovet","Streptocillin","Streptocillin","Tylan","Engemycin","Engemycin"
"Size","5 most common","12 x 100 milliliter","100 milliliter","12 x 250 milliliter","250 milliliter","48 x 100 milliliter","5 x 100 milliliter","100 milliliter","250 milliliter","5 x 100 milliliter","100 milliliter","100 milliliter","100 milliliter","10 x 100 milliliter"
"SR elasticity","1.5997*
(0.7210)","6.1591***
(1.3669)","0.3420
(1.4194)","-0.1173
(2.7675)","-1.2810
(1.4393)","2.2866
(1.2036)","0.6825
(0.9134)","2.5774
(1.6970)","10.1666***
(1.9449)","4.4753*
(2.1560)","6.4870
(5.1011)","-13.1266
(7.3745)","4.3465***
(1.3487)","-1.0259
(0.6352)"
"SR pigs","-0.0453
(1.4159)","-2.9355*
(1.5215)","-0.7380
(2.2772)","-1.2629
(0.8363)","-0.8400
(2.2932)","0.2613
(1.9132)","0.1839
(0.9660)","2.7624
(3.3040)","12.0071***
(1.8527)","1.5796
(2.1144)","5.7690
(3.4677)","-1.3913
(3.3668)","2.0373
(1.4161)","6.4389**
(2.2251)"
"SR pork price","-1.2892**
(0.5059)","-0.8012
(0.4470)","-0.4456
(0.7802)","0.5854
(0.8035)","-0.5770
(1.1496)","-0.3505
(0.7363)","0.5273
(0.4794)","0.3821
(1.1120)","1.3667**
(0.5098)","-1.6068**
(0.6046)","1.2282
(1.0996)","-54.7427***
(9.8177)","0.3062
(0.5079)","3.9130
(3.2493)"
"Time periods","20","20","20","20","20","20","20","20","18","20","19","20","20","20"
"Lag order","2, 2, 2, 2","1, 1, 2, 2","1, 1, 0, 2","1, 2, 0, 0","1, 1, 0, 1","2, 2, 2, 2","1, 0, 0, 1","1, 2, 0, 2","1, 2, 2, 2","1, 2, 1, 1","2, 2, 2, 2","1, 2, 0, 0","1, 0, 0, 0","1, 2, 2, 0"
"Bounds f-test p-value","0.0130","0.8091","0.5361","0.9302","0.8726","0.6760","0.7910","0.3087","0.0000","0.0019","0.5340","0.3247","0.0958","0.0006"
"Bounds t-test p-value","0.9950","0.9960","0.7059","0.9932","0.9349","0.9799","0.7651","0.1716","0.0000","0.0223","0.7597","0.8927","0.0884","0.0028"
"LR elasticity",NA,NA,NA,NA,NA,NA,NA,NA,"-1.9475**
(0.7045)","3.9904*
(1.9310)",NA,NA,NA,"27.0891***
(5.3628)"
"LR pigs",NA,NA,NA,NA,NA,NA,NA,NA,"-1.4094
(0.8174)","9.0882***
(2.6294)",NA,NA,NA,"2.2009
(3.4910)"
"LR pork price",NA,NA,NA,NA,NA,NA,NA,NA,"-0.6760
(0.4295)","2.7445**
(0.9132)",NA,NA,NA,"-2.3622
(1.6863)"
"Speed of adj",NA,NA,NA,NA,NA,NA,NA,NA,"-1.2596","-0.6086",NA,NA,NA,"-0.4343"
"Adjusted R2","0.5749","0.6212","0.1931","-0.1314","-0.0886","0.4077","0.0531","0.4519","0.9332","0.7905","0.4544","0.7500","0.3837","0.6719"
"Significant results",NA,"YES",NA,NA,NA,NA,NA,NA,"YES",NA,NA,NA,"YES","YES"
